AMP,RMS,ZCR,FREQ. RANGE,TIME DECAY,SOURCE,CLASS
0.09105018,0.031209312,2835,Mid,Fast,Natural,CLAP
0.15619263,0.04728656,1498,Mid,Fast,Natural,CLAP
0.1845657,0.06076982,3287,Mid,Fast,Natural,CLAP
0.14842224,0.048515245,1137,Mid,Fast,Natural,CLAP
0.1504414,0.05495066,3165,Mid,Fast,Natural,CLAP
0.34156486,0.11742192,4119,Mid,Fast,Natural,CLAP
0.12869544,0.046633255,5639,Mid,Fast,Natural,CLAP
0.23072016,0.07849001,3552,Mid,Fast,Natural,CLAP
0.29305267,0.093871735,746,Mid,Fast,Natural,CLAP
0.06578362,0.043514255,197,Low,Slow,Acoustic,TOM
0.07058258,0.040046047,190,Low,Slow,Acoustic,TOM
0.060259063,0.032512985,267,Low,Slow,Acoustic,TOM
0.087751895,0.057359733,270,Low,Slow,Acoustic,TOM
0.091063276,0.057556298,136,Low,Slow,Acoustic,TOM
0.085912704,0.055425465,252,Low,Slow,Acoustic,TOM
0.08508424,0.057453226,230,Low,Slow,Acoustic,TOM
0.10044001,0.058368348,191,Low,Slow,Acoustic,TOM
0.08608017,0.065843046,169,Low,Slow,Acoustic,TOM
0.0810375,0.055399943,194,Low,Slow,Acoustic,TOM
0.11646142,0.08002046,213,Low,Slow,Acoustic,TOM
0.09220377,0.07049083,107,Low,Slow,Acoustic,TOM
0.21785885,0.15319076,204,Low,Slow,Acoustic,TOM
0.13738011,0.09651089,176,Low,Slow,Acoustic,TOM
0.10194432,0.050333887,708,Low,Slow,Acoustic,TOM
0.10670051,0.06320455,624,Low,Slow,Acoustic,TOM
0.15333821,0.107550085,143,Low,Slow,Acoustic,TOM
0.13542421,0.092408665,194,Low,Slow,Acoustic,TOM
0.1365438,0.093912065,199,Low,Slow,Acoustic,TOM
0.07611189,0.049036592,275,Low,Slow,Acoustic,TOM
0.08381877,0.047423586,235,Low,Slow,Acoustic,TOM
0.157024,0.10270544,119,Low,Slow,Acoustic,TOM
0.071107045,0.04656968,259,Low,Slow,Acoustic,TOM
0.13011795,0.09330161,320,Low,Slow,Acoustic,TOM
0.1282424,0.09084781,153,Low,Slow,Acoustic,TOM
0.11679796,0.07232235,185,Low,Slow,Acoustic,TOM
0.073904335,0.040593334,431,Low,Slow,Acoustic,TOM
0.0990562,0.058011245,178,Low,Slow,Acoustic,TOM
0.073147096,0.05178369,246,Low,Slow,Acoustic,TOM
0.114414945,0.07903547,365,Low,Slow,Acoustic,TOM
0.14746179,0.10302886,188,Low,Slow,Acoustic,TOM
0.1853042,0.109578736,200,Low,Slow,Acoustic,TOM
0.17818706,0.09820646,199,Low,Slow,Acoustic,TOM
0.19949232,0.1323943,85,Low,Slow,Acoustic,TOM
0.29841486,0.1871026,170,Low,Slow,Acoustic,TOM
0.20999044,0.13823646,80,Low,Slow,Acoustic,TOM
0.13310969,0.07610752,174,Low,Slow,Acoustic,TOM
0.20746867,0.119668305,150,Low,Slow,Acoustic,TOM
0.20559353,0.11200451,149,Low,Slow,Acoustic,TOM
0.14703695,0.08027689,206,Low,Slow,Acoustic,TOM
0.07999411,0.042155232,203,Low,Slow,Acoustic,TOM
0.10443308,0.057219494,231,Low,Slow,Acoustic,TOM
0.08963118,0.05805869,60,Low,Slow,Acoustic,TOM
0.15847498,0.10266247,140,Low,Slow,Acoustic,TOM
0.11626583,0.06881547,614,Low,Slow,Acoustic,TOM
0.11590769,0.0644394,132,Low,Slow,Acoustic,TOM
0.069103375,0.04084435,281,Low,Slow,Acoustic,TOM
0.12110515,0.07510891,133,Low,Slow,Acoustic,TOM
0.1026478,0.06538812,245,Low,Slow,Acoustic,TOM
0.11552587,0.06503973,223,Low,Slow,Acoustic,TOM
0.1483905,0.10000362,270,Low,Slow,Acoustic,TOM
0.08214701,0.05013159,100,Low,Slow,Acoustic,TOM
0.069875605,0.037033156,178,Low,Slow,Acoustic,TOM
0.14022389,0.07676996,480,Low,Slow,Acoustic,TOM
0.12258999,0.077939354,126,Low,Slow,Acoustic,TOM
0.05027385,0.026042368,391,Low,Slow,Acoustic,TOM
0.060471985,0.033187512,574,Low,Slow,Acoustic,TOM
0.18150838,0.10674832,2227,Low,Slow,Acoustic,TOM
0.055281363,0.029718509,443,Low,Slow,Acoustic,TOM
0.12251124,0.07636219,350,Low,Slow,Acoustic,TOM
0.18468046,0.10938889,188,Low,Slow,Acoustic,TOM
0.21090403,0.12100504,216,Low,Slow,Acoustic,TOM
0.26045427,0.16351199,115,Low,Slow,Acoustic,TOM
0.25508747,0.14466265,451,Low,Slow,Acoustic,TOM
0.12544091,0.07620081,267,Low,Slow,Acoustic,TOM
0.14441346,0.07517239,908,Low,Slow,Acoustic,TOM
0.11833401,0.07297809,371,Low,Slow,Acoustic,TOM
0.13466161,0.089420505,231,Low,Slow,Acoustic,TOM
0.129649,0.07699148,229,Low,Slow,Acoustic,TOM
0.06513312,0.031921797,727,Low,Slow,Acoustic,TOM
0.1978262,0.1253723,130,Low,Slow,Acoustic,TOM
0.13564342,0.076194905,631,Low,Slow,Acoustic,TOM
0.16897303,0.11323015,130,Low,Slow,Acoustic,TOM
0.11642537,0.08963309,206,Low,Slow,Acoustic,TOM
0.15571052,0.08602258,241,Low,Slow,Acoustic,TOM
0.17384404,0.12533072,392,Low,Slow,Acoustic,TOM
0.2514903,0.1646939,83,Low,Slow,Acoustic,TOM
0.49054348,0.27704278,411,Low,Slow,Acoustic,TOM
0.12337389,0.06616928,481,Low,Slow,Acoustic,TOM
0.37383994,0.18926665,413,Low,Slow,Acoustic,TOM
0.19852732,0.12039281,375,Low,Slow,Acoustic,TOM
0.27783445,0.13762717,476,Low,Slow,Acoustic,TOM
0.19712593,0.11592396,1672,Low,Slow,Acoustic,TOM
0.15184575,0.08230054,106,Low,Slow,Acoustic,TOM
0.15242337,0.08921384,115,Low,Slow,Acoustic,TOM
0.13637908,0.08234112,129,Low,Slow,Acoustic,TOM
0.23738821,0.16083379,134,Low,Slow,Acoustic,TOM
0.25716838,0.18019442,150,Low,Slow,Acoustic,TOM
0.3362126,0.23462062,90,Low,Slow,Acoustic,TOM
0.32439616,0.22787204,137,Low,Slow,Acoustic,TOM
0.26798165,0.17795743,315,Low,Slow,Acoustic,TOM
0.26855248,0.18879351,153,Low,Slow,Acoustic,TOM
0.24021445,0.15917872,117,Low,Slow,Acoustic,TOM
0.3317529,0.23125719,342,Low,Slow,Acoustic,TOM
0.21947068,0.13269946,125,Low,Slow,Acoustic,TOM
0.20017716,0.117089905,126,Low,Slow,Acoustic,TOM
0.22880901,0.122609876,86,Low,Slow,Acoustic,TOM
0.43162197,0.25536132,251,Low,Slow,Acoustic,TOM
0.31952837,0.17760162,196,Low,Slow,Acoustic,TOM
0.1196381,0.06566196,816,Low,Slow,Acoustic,TOM
0.08412619,0.037454255,2420,High,Fast,Acoustic,CLS HIHAT
0.4464024,0.15178144,1628,High,Fast,Acoustic,CLS HIHAT
0.115712486,0.048859447,3110,High,Fast,Acoustic,CLS HIHAT
0.23616758,0.07985547,2315,High,Fast,Acoustic,CLS HIHAT
0.16040984,0.058312185,2927,High,Fast,Acoustic,CLS HIHAT
0.35810262,0.1350448,816,High,Fast,Acoustic,CLS HIHAT
0.12623936,0.09735349,965,High,Fast,Acoustic,CLS HIHAT
0.28738168,0.10529411,1370,High,Fast,Acoustic,CLS HIHAT
0.11955547,0.09257989,998,High,Fast,Acoustic,CLS HIHAT
0.12609863,0.03978227,1923,High,Fast,Acoustic,CLS HIHAT
0.24200855,0.10172691,1591,High,Fast,Acoustic,CLS HIHAT
0.04059809,0.014268016,3746,High,Fast,Acoustic,CLS HIHAT
0.10940933,0.03685463,1525,High,Fast,Acoustic,CLS HIHAT
0.18763968,0.07485442,3952,High,Fast,Acoustic,CLS HIHAT
0.20828083,0.08366394,1134,High,Fast,Acoustic,CLS HIHAT
0.21862088,0.08003692,2005,High,Fast,Acoustic,CLS HIHAT
0.094270185,0.039104138,1838,High,Fast,Acoustic,CLS HIHAT
0.18992892,0.07878026,2115,High,Fast,Acoustic,CLS HIHAT
0.16471586,0.09011329,2726,High,Fast,Acoustic,CLS HIHAT
0.21520841,0.07396115,1174,High,Fast,Acoustic,CLS HIHAT
0.18761097,0.0786424,1871,High,Fast,Acoustic,CLS HIHAT
0.33877614,0.11597487,1512,High,Fast,Acoustic,CLS HIHAT
0.2526271,0.08894689,2181,High,Fast,Acoustic,CLS HIHAT
0.09082092,0.02948501,4358,High,Fast,Acoustic,CLS HIHAT
0.29298392,0.09078116,2381,High,Fast,Acoustic,CLS HIHAT
0.06579009,0.033447105,1583,High,Fast,Acoustic,CLS HIHAT
0.1117961,0.04085193,4525,High,Fast,Acoustic,CLS HIHAT
0.13845535,0.0435585,4238,High,Fast,Acoustic,CLS HIHAT
0.09370373,0.03206766,6465,High,Fast,Acoustic,CLS HIHAT
